# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: Google Ads Account
# Property: olera.care - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20260407
# End date: 20260413
Page title and screen class,Views,Active users,Sessions,Engagement rate,Bounce rate,Average engagement time per active user,Views per active user,Event count,Key events,Total revenue
Does Blue Cross Blue Shield Cover Caregiver Expenses? | Olera Caregiver Support,26,26,27,0.5925925925925926,0.4074074074074074,125,1,93,0,0
How to Apply for Senior Community Service Employment Program (SCSEP) | Texas | Olera,26,1,3,1,0,489,26,37,0,0
MedJobs — Student Caregiver Talent Marketplace | Olera,26,19,19,1,0,24.842105263157894,1.368421052631579,30,0,0
Home Care Near You | Compare Providers | Olera,25,21,22,0.9545454545454546,0.045454545454545456,18.523809523809526,1.1904761904761905,28,0,0
Michigan Benefits | Benefits Hub | Olera,25,11,16,0.75,0.25,20.181818181818183,2.272727272727273,47,0,0
Home Health Care Near You | Compare Providers | Olera,24,19,20,0.95,0.05,38.89473684210526,1.263157894736842,31,0,0
Welcome | Olera,23,17,18,1,0,76.29411764705883,1.3529411764705883,35,0,0
Texas Comprehensive Energy Assistance Program (CEAP/LIHEAP) | Texas | Benefits Hub | Olera,22,3,6,1,0,139.33333333333334,7.333333333333333,35,0,0
Logan L DuBose — Student Caregiver | Hire Staff,21,3,11,1,0,109.33333333333333,7,25,0,0
How to Get Paid as a Caregiver in Texas 2026 — STAR+PLUS Guide | Olera,20,12,18,0.4444444444444444,0.5555555555555556,29.666666666666668,1.6666666666666667,58,0,0
Logan L DuBose — Student Caregiver | Olera MedJobs,20,7,13,0.9230769230769231,0.07692307692307693,92.42857142857143,2.857142857142857,27,0,0
Effy Nyamekye — Student Caregiver | Hire Staff,18,6,11,0.9090909090909091,0.09090909090909091,17.666666666666668,3,23,0,0
How to Get Paid as a Caregiver in Texas 2026 — STAR+PLUS Guide | Olera Caregiver Support,18,12,17,0.29411764705882354,0.7058823529411765,17.5,1.5,48,0,0
Texas Weatherization Assistance Program Resources | Texas | Olera,18,1,4,1,0,294,18,27,0,0
Effy Nyamekye — Student Caregiver | Olera MedJobs,16,11,13,0.9230769230769231,0.07692307692307693,65.81818181818181,1.4545454545454546,24,0,0
"THRYVE of South Holland, Dolton IL: Pricing & Availability | Olera.care",16,15,15,0.4,0.6,15.6,1.0666666666666667,61,0,0
Texas Medicare Savings Programs | Texas | Benefits Hub | Olera,16,3,11,0.7272727272727273,0.2727272727272727,116.33333333333333,5.333333333333333,24,0,0
Albus Dumbledore — Student Caregiver | Hire Staff,15,6,13,1,0,20,2.5,20,0,0
"Bowie Commons, Bowie MD: Pricing & Availability | Olera.care",15,13,13,0.6923076923076923,0.3076923076923077,30.692307692307693,1.1538461538461537,54,0,0
"Bunny Home Care Greater Philadelphia, PA, Lower Southampton PA: Pricing & Availability | Olera.care",15,7,8,0.875,0.125,18.285714285714285,2.142857142857143,28,0,0
Jim Greg — Student Caregiver | Hire Staff,13,3,12,1,0,17,4.333333333333333,14,0,0
Senior Community Service Employment Program (SCSEP) | Texas | Benefits Hub | Olera,13,2,4,1,0,118.5,6.5,16,0,0
Aging in America | A Documentary Series by Olera,12,7,9,0.7777777777777778,0.2222222222222222,66.57142857142857,1.7142857142857142,27,0,0
"Conejo Valley Congregate Healthcare, Port Hueneme CA: Pricing & Availability | Olera.care",12,4,4,1,0,43.5,3,24,0,0
"SR Home Health Care, Wesley Chapel FL: Pricing & Availability | Olera.care",12,2,3,0.6666666666666666,0.3333333333333333,239,6,25,0,0
"(Test) Effy's Homecare, Houston TX: Pricing & Availability | Olera.care",11,3,10,0.9,0.1,48,3.6666666666666665,17,0,0
"Bellemeade Manor, St. Peters MO: Pricing & Availability | Olera.care",11,10,10,0.6,0.4,9.4,1.1,39,0,0
Home Care Services Near You | Olera,11,10,12,0.75,0.25,71.1,1.1,21,0,0
MI Choice Waiver Program | Michigan | Benefits Hub | Olera,11,4,6,0.8333333333333334,0.16666666666666666,12.5,2.75,23,0,0
Our Team | Olera,11,9,10,0.8,0.2,64,1.2222222222222223,26,0,0
"Ridgecrest Apartments, Ridgewood NJ: Pricing & Availability | Olera.care",11,9,9,0.5555555555555556,0.4444444444444444,11.11111111111111,1.2222222222222223,33,0,0
Test Home Care Agency #7 — Student Caregiver | Hire Staff,11,6,10,0.9,0.1,8.166666666666666,1.8333333333333333,15,0,0
Texas Comprehensive Energy Assistance Program (CEAP/LIHEAP) Eligibility | Texas | Olera,11,1,2,1,0,221,11,12,0,0
"Timothy Manor, Opelika AL: Pricing & Availability | Olera.care",11,8,9,0.5555555555555556,0.4444444444444444,17.25,1.375,36,0,0
"Consumer Direct Care Network Washington (CDWA), Federal Way WA: Pricing & Availability | Olera.care",10,8,8,0.25,0.75,49.125,1.25,31,0,0
Contact Us | Olera,10,9,9,0.8888888888888888,0.1111111111111111,103.66666666666667,1.1111111111111112,22,0,0
Home Health Care Services | Olera,10,9,9,1,0,31.77777777777778,1.1111111111111112,16,0,0
How to Apply for Texas Comprehensive Energy Assistance Program (CEAP/LIHEAP) | Texas | Olera,10,1,2,1,0,78,10,10,0,0
"Villas of Chenal, Little Rock AR: Pricing & Availability | Olera.care",10,9,9,0.5555555555555556,0.4444444444444444,28.666666666666668,1.1111111111111112,39,0,0
Assisted Living Near You | Compare Providers | Olera,9,8,8,0.875,0.125,42.625,1.125,12,0,0
Average Cost of a Live-In Caregiver: Understanding Expenses | Olera Caregiver Support,9,6,7,0.5714285714285714,0.42857142857142855,161.66666666666666,1.5,28,0,0
"Chevy Chase Gardens, Lexington KY: Pricing & Availability | Olera.care",9,7,8,0.5,0.5,45.142857142857146,1.2857142857142858,31,0,0
"El Patio Gardens Senior Community, Santa Barbara CA: Pricing & Availability | Olera.care",9,6,7,0.8571428571428571,0.14285714285714285,33.833333333333336,1.5,32,0,0
"Flint Ridge Village Apartments, Newark OH: Pricing & Availability | Olera.care",9,7,9,0.1111111111111111,0.8888888888888888,8.571428571428571,1.2857142857142858,28,0,0
"Palomitas ""R"" US, Laredo TX: Pricing & Availability | Olera.care",9,8,8,0.75,0.25,28.875,1.125,31,0,0
"River Bluff Cooperative, Rochester MN: Pricing & Availability | Olera.care",9,8,8,0.875,0.125,30.625,1.125,33,0,0
"Sterling Oaks Senior Apartment, Portage MI: Pricing & Availability | Olera.care",9,9,9,0.5555555555555556,0.4444444444444444,39,1,35,0,0
Test Home Care Agency #7 — Student Caregiver | Olera MedJobs,9,7,10,0.8,0.2,20,1.2857142857142858,15,0,0
Texas Comprehensive Energy Assistance Program (CEAP/LIHEAP) Resources | Texas | Olera,9,1,1,1,0,345,9,15,0,0
"Villa-Rita, Superior WI: Pricing & Availability | Olera.care",9,6,6,0.3333333333333333,0.6666666666666666,24.166666666666668,1.5,25,0,0
(not set),8,6,6,0.6666666666666666,0.3333333333333333,5.166666666666667,1.3333333333333333,17,0,0
"Bella Vista Apartments, Union City NJ: Pricing & Availability | Olera.care",8,5,7,0.14285714285714285,0.8571428571428571,3.4,1.6,24,0,0
"Briarwood Apartments, Corpus Christi TX: Pricing & Availability | Olera.care",8,2,6,0.5,0.5,15.5,4,17,0,0
"Cedar Trace Senior Apartments, Evansville IN: Pricing & Availability | Olera.care",8,5,7,0.42857142857142855,0.5714285714285714,5,1.6,23,0,0
"Cottage Village Senior Apartments, Manteca CA: Pricing & Availability | Olera.care",8,5,5,1,0,17.2,1.6,24,0,0
Meals on Wheels Texas | Texas | Benefits Hub | Olera,8,2,2,0.5,0.5,53.5,4,12,0,0
"Midland Park Residential Home, North Charleston SC: Pricing & Availability | Olera.care",8,4,6,0.3333333333333333,0.6666666666666666,95.25,2,25,0,0
"Nancy's Place, Smyrna TN: Pricing & Availability | Olera.care",8,6,6,0.8333333333333334,0.16666666666666666,38.166666666666664,1.3333333333333333,24,0,0
"Shadyside Skilled Nursing and Rehabilitation Center, Pittsburgh PA: Pricing & Availability | Olera.care",8,4,4,0.75,0.25,22,2,23,0,0
"Silvercrest Residence, Eureka CA: Pricing & Availability | Olera.care",8,8,8,0.375,0.625,20.25,1,32,0,0
Texas Medicaid Eligibility for Seniors 2026 — Income Limits & How to Apply | Olera Caregiver Support,8,7,7,0.5714285714285714,0.42857142857142855,127.28571428571429,1.1428571428571428,27,0,0
"Ankar Retirement Park, Bellingham WA: Pricing & Availability | Olera.care",7,7,7,0.8571428571428571,0.14285714285714285,42.42857142857143,1,31,0,0
"Arc at Normal, Normal IL: Pricing & Availability | Olera.care",7,3,3,1,0,31.333333333333332,2.3333333333333335,20,0,0
"BEST GIFT HOME HEALTH CARE, Woodbridge NJ: Pricing & Availability | Olera.care",7,2,3,0.3333333333333333,0.6666666666666666,16.5,3.5,16,0,0
"Centerbridge, Bridgewater NJ: Pricing & Availability | Olera.care",7,6,6,0.8333333333333334,0.16666666666666666,27.5,1.1666666666666667,25,0,0
"Dottie's Quality In Home Care, Modesto CA: Pricing & Availability | Olera.care",7,4,6,0.8333333333333334,0.16666666666666666,37.5,1.75,25,0,0
"Evergreen Health Care Management, Annandale VA: Pricing & Availability | Olera.care",7,5,6,0.6666666666666666,0.3333333333333333,29.6,1.4,26,0,0
"Grace Woods Personal Care Center, New Castle PA: Pricing & Availability | Olera.care",7,7,7,0.8571428571428571,0.14285714285714285,53.714285714285715,1,30,0,0
"Hallmark Residential Services, Culpeper VA: Pricing & Availability | Olera.care",7,6,6,1,0,23.166666666666668,1.1666666666666667,10,0,0
"Home Care in College Station, TX | Compare Providers | Olera",7,3,6,0.8333333333333334,0.16666666666666666,38.333333333333336,2.3333333333333335,14,0,0
How to Apply for Meals on Wheels Texas | Texas | Olera,7,1,1,1,0,96,7,9,0,0
How to Apply for Texas Medicaid for the Elderly and People with Disabilities | Texas | Olera,7,1,1,1,0,103,7,8,0,0
"Jonesboro Ecumencial Center, Jonesboro AR: Pricing & Availability | Olera.care",7,5,6,0.6666666666666666,0.3333333333333333,34.2,1.4,24,0,0
"Maywright Group Home, Rialto CA: Pricing & Availability | Olera.care",7,4,7,0.14285714285714285,0.8571428571428571,4.25,1.75,20,0,0
"Mill Pond Senior Apartments, O'Fallon MO: Pricing & Availability | Olera.care",7,7,7,0.8571428571428571,0.14285714285714285,48.57142857142857,1,27,0,0
"North Ridge Cottages, Blue Springs MO: Pricing & Availability | Olera.care",7,5,7,0.42857142857142855,0.5714285714285714,56.8,1.4,23,0,0
"Nutley Parkside Apartments, Nutley NJ: Pricing & Availability | Olera.care",7,6,6,0.3333333333333333,0.6666666666666666,14.5,1.1666666666666667,24,0,0
"Pierrepont House For The Elderly, Brooklyn NY: Pricing & Availability | Olera.care",7,7,7,0.8571428571428571,0.14285714285714285,19.714285714285715,1,29,0,0
"Rezilient with Phelps Health CloudClinic - Rolla, MO, Rolla MO: Pricing & Availability | Olera.care",7,1,2,1,0,397,7,14,0,0
STAR+PLUS Home and Community-Based Services (HCBS) | Texas | Benefits Hub | Olera,7,1,1,1,0,123,7,7,0,0
Senior Community Service Employment Program (SCSEP) Eligibility | Texas | Olera,7,1,1,1,0,338,7,9,0,0
Texas Medicaid for the Elderly and People with Disabilities | Texas | Benefits Hub | Olera,7,2,2,1,0,96.5,3.5,11,0,0
"The Courts at Four Seasons at Beaumont, Beaumont CA: Pricing & Availability | Olera.care",7,5,5,0.8,0.2,47.6,1.4,20,0,0
"The Lofts at Union Crossing, Gastonia NC: Pricing & Availability | Olera.care",7,1,1,1,0,81,7,11,0,0
"Villages at Homefield, O'Fallon MO: Pricing & Availability | Olera.care",7,5,5,0.6,0.4,34.6,1.4,22,0,0
"Whoo's Caring, Orland Park IL: Pricing & Availability | Olera.care",7,2,4,0.25,0.75,70.5,3.5,16,0,0
Albus D. — Student Caregiver | Olera MedJobs,6,2,7,0.8571428571428571,0.14285714285714285,18,3,13,0,0
"Amity House Residential Care and Group Homes, Irving TX: Pricing & Availability | Olera.care",6,5,6,0.5,0.5,44.4,1.2,24,0,0
"Angelique Woods Apartments, Erie PA: Pricing & Availability | Olera.care",6,4,4,0.75,0.25,41,1.5,17,0,0
Assisted Living in California | Compare Providers | Olera,6,4,5,0.6,0.4,6,1.5,11,0,0
"Avenida Living Home, Thousand Oaks CA: Pricing & Availability | Olera.care",6,4,6,0.8333333333333334,0.16666666666666666,38.25,1.5,23,0,0
"Bhartiya Nivas, Garland TX: Pricing & Availability | Olera.care",6,6,6,1,0,30.333333333333332,1,25,0,0
"Budlong Manor, Cranston RI: Pricing & Availability | Olera.care",6,5,5,0.4,0.6,8.2,1.2,20,0,0
Caregiver for the Elderly Daily Log App: Simplifying Your Care Tasks | Olera Caregiver Support,6,3,3,1,0,116,2,22,0,0
"Caroldale Home, Board and Care, Carson CA: Pricing & Availability | Olera.care",6,3,3,1,0,78.66666666666667,2,17,0,0
"Garland Estate For Seniors, Garland TX: Pricing & Availability | Olera.care",6,3,5,0.4,0.6,15.333333333333334,2,16,0,0
"Golden Care of NEPA, Wilkes-Barre PA: Pricing & Availability | Olera.care",6,5,5,0.4,0.6,12.8,1.2,21,0,0
"Haven Home Healthcare, Farmington NM: Pricing & Availability | Olera.care",6,5,6,0.3333333333333333,0.6666666666666666,23.6,1.2,24,0,0
"Hearthside Apartments, Portage MI: Pricing & Availability | Olera.care",6,5,5,0.8,0.2,58.6,1.2,25,0,0
"Heman Street School Apartments, De Witt NY: Pricing & Availability | Olera.care",6,4,4,0.5,0.5,19,1.5,15,0,0
How to Apply for STAR+PLUS Home and Community-Based Services (HCBS) | Texas | Olera,6,1,1,1,0,114,6,8,0,0
"Kenny's Heart Senior Living, Lewisville TX: Pricing & Availability | Olera.care",6,4,6,0.6666666666666666,0.3333333333333333,45,1.5,21,0,0
"Kottinger Place Apartments-Seniors, Pleasanton CA: Pricing & Availability | Olera.care",6,5,5,0.6,0.4,14,1.2,22,0,0
"M&S Grace Manor Adult Family Home, Bellingham WA: Pricing & Availability | Olera.care",6,3,4,0.5,0.5,16.666666666666668,2,16,0,0
"Oakhurst Place, Delaware OH: Pricing & Availability | Olera.care",6,5,5,0.6,0.4,13,1.2,21,0,0
"Ridgecrest Apartment 55+, Warner Robins GA: Pricing & Availability | Olera.care",6,6,6,0.5,0.5,18.5,1,25,0,0
"Senior Suites of Jefferson Park, Chicago IL: Pricing & Availability | Olera.care",6,2,3,0.6666666666666666,0.3333333333333333,81,3,17,0,0
"Silver Oaks At Waterford Senior Apartments, Aurora IL: Pricing & Availability | Olera.care",6,2,5,0.4,0.6,90.5,3,16,0,0
"St Elizabeth Manor, East Hartford CT: Pricing & Availability | Olera.care",6,3,3,0.6666666666666666,0.3333333333333333,80,2,16,0,0
"St Vrain Manor Christian Housing, Longmont CO: Pricing & Availability | Olera.care",6,4,4,0.5,0.5,28.25,1.5,18,0,0
"StoneRidge, Frederickson WA: Pricing & Availability | Olera.care",6,5,6,0.8333333333333334,0.16666666666666666,36.4,1.2,13,0,0
Texas PACE: Program of All-Inclusive Care for the Elderly | Texas | Benefits Hub | Olera,6,1,1,1,0,55,6,6,0,0
Understanding Your Family Caregiver Legal Rights & The Law | Olera Caregiver Support,6,6,6,1,0,96.33333333333333,1,21,0,0
"Wellspring Assisted Living, Knoxville TN: Pricing & Availability | Olera.care",6,3,4,0.5,0.5,22,2,13,0,0
"Zvago Lake Superior, Duluth MN: Pricing & Availability | Olera.care",6,6,6,0.6666666666666666,0.3333333333333333,22.166666666666668,1,24,0,0
About Olera | Our Mission to Transform Senior Care,5,5,5,1,0,38.6,1,8,0,0
"Always Home Care, Elizabeth NJ: Pricing & Availability | Olera.care",5,3,3,0.3333333333333333,0.6666666666666666,0,1.6666666666666667,11,0,0
Assisted Living in Texas | Compare Providers | Olera,5,3,3,0.6666666666666666,0.3333333333333333,13.333333333333334,1.6666666666666667,7,0,0
"Chandler Creek Village Apartments, Greer SC: Pricing & Availability | Olera.care",5,3,3,0.6666666666666666,0.3333333333333333,62.666666666666664,1.6666666666666667,16,0,0
"Fig Tree Hcs, Brownsville TX: Pricing & Availability | Olera.care",5,4,6,0.3333333333333333,0.6666666666666666,18.25,1.25,21,0,0
Find Top House & Yard Maintenance Services for Seniors | Olera Caregiver Support,5,2,2,0.5,0.5,64,2.5,10,0,0
"Fritz Reuter Altenheim, North Bergen NJ: Pricing & Availability | Olera.care",5,4,5,0.6,0.4,249.25,1.25,21,0,0
"Generations Home Care, North Hempstead NY: Pricing & Availability | Olera.care",5,2,2,1,0,178.5,2.5,13,0,0
"Glen East Senior Apartments, Dothan AL: Pricing & Availability | Olera.care",5,4,4,0.5,0.5,28.5,1.25,15,0,0
"Grace House, Murfreesboro TN: Pricing & Availability | Olera.care",5,3,3,0.6666666666666666,0.3333333333333333,18.333333333333332,1.6666666666666667,13,0,0
"Heritage Park Senior Center, Taylor MI: Pricing & Availability | Olera.care",5,4,4,0.5,0.5,5,1.25,14,0,0
"Home Care in Houston, TX | Compare Providers | Olera",5,4,7,0.8571428571428571,0.14285714285714285,69,1.25,11,0,0
"Home Helpers of Minot, Minot ND: Pricing & Availability | Olera.care",5,2,2,1,0,108.5,2.5,11,0,0
"HomeCaire of Ohio, Monroe MI: Pricing & Availability | Olera.care",5,5,6,0.8333333333333334,0.16666666666666666,6.8,1,9,0,0
How to Apply for Primary Home Care (Community Care) | Texas | Olera,5,1,1,1,0,18,5,6,0,0
Independent Living Near You | Compare Providers | Olera,5,4,5,1,0,211,1.25,9,0,0
"Inglewood Meadows, Inglewood CA: Pricing & Availability | Olera.care",5,1,4,0.25,0.75,0,5,9,0,0
"Intrepid USA Healthcare Services, Valdosta GA: Pricing & Availability | Olera.care",5,1,1,1,0,140,5,10,0,0
"Joy Home Care, Providence RI: Pricing & Availability | Olera.care",5,4,4,0.5,0.5,32.25,1.25,16,0,0
"Kearny Senior Residence, Kearny NJ: Pricing & Availability | Olera.care",5,5,5,0.6,0.4,25.2,1,18,0,0
"MLH Manor, Fairbanks AK: Pricing & Availability | Olera.care",5,3,4,0.75,0.25,116.66666666666667,1.6666666666666667,15,0,0
"Miss Bright Home Care Services, Salisbury MD: Pricing & Availability | Olera.care",5,3,4,0.25,0.75,18,1.6666666666666667,16,0,0
"Momba Home Care, Forest Park OH: Pricing & Availability | Olera.care",5,5,5,0,1,0,1,15,0,0
"Moravia Health Erie, Erie PA: Pricing & Availability | Olera.care",5,5,5,0.6,0.4,10.8,1,18,0,0
"Perez Health Care Group, Lehigh Acres FL: Pricing & Availability | Olera.care",5,3,3,0.6666666666666666,0.3333333333333333,36.666666666666664,1.6666666666666667,13,0,0
"Polish Homecare Service, North Brunswick NJ: Pricing & Availability | Olera.care",5,2,2,1,0,94,2.5,17,0,0
Primary Home Care (Community Care) | Texas | Benefits Hub | Olera,5,1,2,1,0,165,5,6,0,0
"RRH McCormick Transitional Care Center, Greece NY: Pricing & Availability | Olera.care",5,2,2,0.5,0.5,119.5,2.5,16,0,0
Research & Press | Olera,5,1,1,1,0,96,5,5,0,0
"Ridgeview Estates, Raymore MO: Pricing & Availability | Olera.care",5,5,6,0.6666666666666666,0.3333333333333333,35.6,1,21,0,0
STAR+PLUS Home and Community-Based Services (HCBS) Resources | Texas | Olera,5,1,1,1,0,38,5,6,0,0
"St. Catherine Manor Apartments aka Dunmore Senior Housing, Scranton PA: Pricing & Availability | Olera.care",5,2,2,0.5,0.5,3.5,2.5,9,0,0
"Sunrise Assisted Living Home II, Surprise AZ: Pricing & Availability | Olera.care",5,3,3,1,0,117,1.6666666666666667,15,0,0
"Surrey Downs Clubhouse, Freehold NJ: Pricing & Availability | Olera.care",5,4,5,0.2,0.8,8.75,1.25,16,0,0
Texas Medicaid for the Elderly and People with Disabilities Eligibility | Texas | Olera,5,1,1,1,0,160,5,7,0,0
Texas Respite Care Services Resources | Texas | Olera,5,1,2,1,0,197,5,11,0,0
Texas SHIP Medicare Counseling | Texas | Benefits Hub | Olera,5,2,2,1,0,50,2.5,7,0,0
"Vaughn Towers, Dothan AL: Pricing & Availability | Olera.care",5,5,5,0.4,0.6,19,1,19,0,0
"Versailles Care Culture Center Adult Day, Lower Southampton PA: Pricing & Availability | Olera.care",5,5,5,0.8,0.2,39.2,1,20,0,0
"Wellsprings Post Acute Center, Lancaster CA: Pricing & Availability | Olera.care",5,4,5,0.2,0.8,5.25,1.25,18,0,0
"Woodbirch Association, Bristol CT: Pricing & Availability | Olera.care",5,4,4,0.75,0.25,25.5,1.25,19,0,0
"A Pineywoods Health Services, Beaumont TX: Pricing & Availability | Olera.care",4,4,4,0.25,0.75,5.5,1,14,0,0
"ALMAR HOME HEALTH CARE, Golden Glades FL: Pricing & Availability | Olera.care",4,4,4,1,0,40.25,1,16,0,0
"Aces Home Health, Fort Washington MD: Pricing & Availability | Olera.care",4,1,1,1,0,159,4,9,0,0
"Albert's House Sandpiper, Tucker GA: Pricing & Availability | Olera.care",4,1,3,0.3333333333333333,0.6666666666666666,16,4,10,0,0
Albus D. — Student Caregiver | Hire Staff,4,2,2,1,0,20,2,4,0,0
"Angeles Guardians, Brownsville TX: Pricing & Availability | Olera.care",4,1,1,1,0,46,4,8,0,0
"Ariel's Safe Haven Assisted Living, Fredericksburg VA: Pricing & Availability | Olera.care",4,3,3,0.6666666666666666,0.3333333333333333,13.666666666666666,1.3333333333333333,12,0,0
Assisted Living Communities Near You | Olera,4,4,6,0.8333333333333334,0.16666666666666666,30.75,1,8,0,0
"Avir at Garland, Garland TX: Pricing & Availability | Olera.care",4,3,3,1,0,78,1.3333333333333333,17,0,0
"Balm In Gilead Home Health Services, Tyler TX: Pricing & Availability | Olera.care",4,2,2,0.5,0.5,14,2,10,0,0
"Best Choice Home Health Care, Bronx NY: Pricing & Availability | Olera.care",4,4,4,0.5,0.5,20.5,1,16,0,0
"Best Love & Care Home Services, LLC, St. Louis MO: Pricing & Availability | Olera.care",4,1,2,1,0,37,4,8,0,0
"Bloomington Grove & Lillian Court, Bloomington CA: Pricing & Availability | Olera.care",4,3,3,1,0,65,1.3333333333333333,16,0,0
"Buehler Home, Peoria IL: Pricing & Availability | Olera.care",4,4,4,0.75,0.25,98,1,17,0,0
Can a Caregiver Receive Benefits from Social Security? | Olera Caregiver Support,4,4,4,0.75,0.25,131.75,1,16,0,0
Caring for an Elderly Loved One? Find the Right Support Today,4,4,4,0,1,0,1,12,0,0
"Carnelian Villas Home Care - an ALW Provider, Anaheim CA: Pricing & Availability | Olera.care",4,3,4,0.5,0.5,18.333333333333332,1.3333333333333333,15,0,0
"Cascade Ridge, Great Falls MT: Pricing & Availability | Olera.care",4,4,4,0.25,0.75,13.75,1,17,0,0
Compensating Family Caregivers: Guide to Medicaid-Friendly Personal Care Agreements - Olera | Olera Caregiver Support,4,1,1,1,0,34,4,14,0,0
"Creekside Apartments, Warwick NY: Pricing & Availability | Olera.care",4,4,4,0.75,0.25,10.75,1,16,0,0
"Creekside Health and Rehabilitation of Cascadia, Eugene OR: Pricing & Availability | Olera.care",4,4,4,0,1,0,1,12,0,0
"Deep Creek Rehab & Nursing Center, Port Charlotte FL: Pricing & Availability | Olera.care",4,4,4,0.75,0.25,29.5,1,15,0,0
"Divine Fijians Home Care, Santa Rosa CA: Pricing & Availability | Olera.care",4,2,4,0.5,0.5,42,2,12,0,0
"Eagle Village, Bradenton FL: Pricing & Availability | Olera.care",4,4,4,0.5,0.5,12.75,1,15,0,0
"East Meadow Knolls IV, East Meadow NY: Pricing & Availability | Olera.care",4,3,3,0.6666666666666666,0.3333333333333333,51.333333333333336,1.3333333333333333,14,0,0
"Eastlake Woods, Erie PA: Pricing & Availability | Olera.care",4,2,3,0.6666666666666666,0.3333333333333333,89.5,2,12,0,0
"Elia´s Care Giving, Levittown PA: Pricing & Availability | Olera.care",4,3,3,0.6666666666666666,0.3333333333333333,5.333333333333333,1.3333333333333333,7,0,0
"Encompass Home Health, Las Cruces NM: Pricing & Availability | Olera.care",4,1,1,1,0,27,4,11,0,0
"Forest View, Independence MO: Pricing & Availability | Olera.care",4,1,1,1,0,34,4,7,0,0
"Goldstar Living, Baytown TX: Pricing & Availability | Olera.care",4,3,3,0.6666666666666666,0.3333333333333333,15.666666666666666,1.3333333333333333,12,0,0
"Grace Woods at Ohio Living - Breckenridge Village, Willoughby OH: Pricing & Availability | Olera.care",4,3,4,0.75,0.25,75,1.3333333333333333,15,0,0
"Grandpa & Grandma Primary Home Care, Brownsville TX: Pricing & Availability | Olera.care",4,1,1,1,0,14,4,6,0,0
"Harmony Care, Frankfort KY: Pricing & Availability | Olera.care",4,4,4,1,0,23.75,1,18,0,0
"Health First Colorado (Medicaid) for Aged, Blind, and Disabled | Colorado | Benefits Hub | Olera",4,1,1,1,0,2,4,6,0,0
Hermione Granger — Student Caregiver | Olera MedJobs,4,2,4,1,0,32,2,5,0,0
Home Health Care in California | Compare Providers | Olera,4,3,3,1,0,61,1.3333333333333333,7,0,0
Home Health Care in Iowa | Compare Providers | Olera,4,2,2,1,0,18,2,4,0,0
How to Apply for Texas PACE: Program of All-Inclusive Care for the Elderly | Texas | Olera,4,1,1,1,0,77,4,6,0,0
Independent Living Communities for Seniors | Olera,4,4,4,1,0,45.75,1,5,0,0
"Infinity Group Health, Mansfield TX: Pricing & Availability | Olera.care",4,1,3,0.6666666666666666,0.3333333333333333,649,4,14,0,0
Jim G. — Student Caregiver | Hire Staff,4,4,4,1,0,11.25,1,6,0,0
"Kansas Soldiers' Home, Dodge City KS: Pricing & Availability | Olera.care",4,1,1,1,0,345,4,9,0,0
