# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: Google Ads Account
# Property: olera.care - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20251014
# End date: 20251020
Page title and screen class,Views,Active users,Sessions,Engagement rate,Bounce rate,Average engagement time per active user,Views per active user,Event count,Key events,Total revenue
"Best Independent Living in Folsom, CA: Price Comparison",24,24,24,0.5833333333333334,0.4166666666666667,9.833333333333334,1,109,0,0
"Best Senior Communities in Temescal Valley, CA: Price Comparison",24,24,24,0.625,0.375,9.916666666666666,1,111,0,0
Home Care for Seniors: A Comprehensive Guide to Options and Benefits,24,19,20,0.9,0.1,38.89473684210526,1.263157894736842,55,0,0
"Mercy Housing - Mercy Village, Joplin MO: Pricing & Availability | Olera.care",24,24,24,0.625,0.375,9.541666666666666,1,116,0,0
"Tanis Valdez Village, Laredo TX: Pricing & Availability | Olera.care",24,23,23,0.6956521739130435,0.30434782608695654,58.26086956521739,1.0434782608695652,107,0,0
"Best Independent Living in Upland, CA: Price Comparison",22,22,22,0.4090909090909091,0.5909090909090909,7.863636363636363,1,101,0,0
Best Nursing Home in North Dakota: Price Comparison,22,22,22,0.6363636363636364,0.36363636363636365,9.727272727272727,1,106,0,0
"Best Senior Communities in Orlando, FL: Price Comparison",22,22,22,0.6818181818181818,0.3181818181818182,10.863636363636363,1,100,0,0
Independent Living for Seniors: A Comprehensive Exploration and Guide,22,18,20,0.9,0.1,65.38888888888889,1.2222222222222223,45,0,0
"Raintree Village, Lee's Summit MO: Pricing & Availability | Olera.care",22,21,22,0.6363636363636364,0.36363636363636365,21.80952380952381,1.0476190476190477,102,0,0
"Salony House Senior Apartments, Reisterstown MD: Pricing & Availability | Olera.care",22,17,18,0.6666666666666666,0.3333333333333333,32.35294117647059,1.2941176470588236,75,0,0
"Solstice Senior Living at Lee's Summit, Lee's Summit MO: Pricing & Availability | Olera.care",22,22,22,0.6818181818181818,0.3181818181818182,10.090909090909092,1,106,0,0
"Union Towers Phase II, Weymouth Town MA: Pricing & Availability | Olera.care",22,22,22,0.8181818181818182,0.18181818181818182,10.318181818181818,1,107,0,0
"Best Independent Living in Rancho Cucamonga, CA - Olera",21,21,21,0.6190476190476191,0.38095238095238093,9.80952380952381,1,90,0,0
Does Blue Cross Blue Shield Cover Caregiver Expenses?,21,20,21,0.5238095238095238,0.47619047619047616,26.05,1.05,73,0,0
"Liberty Commons Rehabilitation Center, Wilmington NC: Pricing & Availability | Olera.care",21,21,21,0.8571428571428571,0.14285714285714285,10.142857142857142,1,101,0,0
Olera Caregiver Forum: Supportive Member Community,21,13,17,0.8235294117647058,0.17647058823529413,86.92307692307692,1.6153846153846154,37,0,0
"The DAVIS COMMUNITY, Wilmington NC: Pricing & Availability | Olera.care",21,21,21,0.9047619047619048,0.09523809523809523,16.19047619047619,1,99,0,0
"The Village at Motts Landing, Wilmington NC: Pricing & Availability | Olera.care",21,21,21,0.5238095238095238,0.47619047619047616,9.523809523809524,1,102,0,0
"Unity Health and Rehabilitation Center, Miami FL: Pricing & Availability | Olera.care",21,21,21,0.7142857142857143,0.2857142857142857,10.142857142857142,1,101,0,0
Best Home Care Agencies in Houston: Price Comparison,20,11,15,0.9333333333333333,0.06666666666666667,24.09090909090909,1.8181818181818181,24,0,0
"Best Nursing Home in Boca Raton, FL: Price Comparison",20,20,20,0.55,0.45,8.8,1,90,0,0
"Laredo South Nursing and Rehabilitation Center, Laredo TX: Pricing & Availability | Olera.care",20,20,20,0.65,0.35,9.45,1,97,0,0
"Las Alturas Nursing & Transitional Care, Laredo TX: Pricing & Availability | Olera.care",20,19,19,0.8421052631578947,0.15789473684210525,11.473684210526315,1.0526315789473684,90,0,0
"The Princeton Senior Living, Lee's Summit MO: Pricing & Availability | Olera.care",20,20,20,0.8,0.2,10.35,1,97,0,0
"Best Senior Communities in Hollywood, FL: Price Comparison",19,19,19,0.631578947368421,0.3684210526315789,10.263157894736842,1,87,0,0
"Laredo West Nursing and Rehabilitation Center, Laredo TX: Pricing & Availability | Olera.care",19,19,19,0.6842105263157895,0.3157894736842105,9.210526315789474,1,90,0,0
"Unlimited Senior Solutions, Miami FL: Pricing & Availability | Olera.care",19,19,19,0.6842105263157895,0.3157894736842105,9.157894736842104,1,89,0,0
"Best Nursing Home in Montgomery, AL: Price Comparison",18,18,18,0.6666666666666666,0.3333333333333333,10,1,77,0,0
"Best Senior Communities in Laredo, TX: Price Comparison",18,18,18,0.5,0.5,8.555555555555555,1,78,0,0
"Brightmore of Wilmington, Wilmington NC: Pricing & Availability | Olera.care",18,18,18,0.6111111111111112,0.3888888888888889,9.166666666666666,1,87,0,0
"Elliott Place Senior Living, Kansas City MO: Pricing & Availability | Olera.care",18,18,18,0.6666666666666666,0.3333333333333333,9.777777777777779,1,87,0,0
"Hamilton Senior Apartments, Laredo TX: Pricing & Availability | Olera.care",18,18,18,0.7222222222222222,0.2777777777777778,10.333333333333334,1,84,0,0
Olera - Caregiver Support Platform for Senior Care Needs,18,12,12,0.8333333333333334,0.16666666666666666,10.666666666666666,1.5,39,0,0
"Senior Living Foundation, Washington DC: Pricing & Availability | Olera.care",18,18,18,0.7222222222222222,0.2777777777777778,9.833333333333334,1,87,0,0
"The Pearl at Fort Lauderdale Rehabilitation & Nursing Center, Fort Lauderdale FL: Pricing & Availability | Olera.care",18,18,18,0.7777777777777778,0.2222222222222222,9.666666666666666,1,85,0,0
"The Verandah Retirement Community, Lake Charles LA: Pricing & Availability | Olera.care",18,18,18,0.6666666666666666,0.3333333333333333,9.38888888888889,1,86,0,0
"Trinity Garden ALF, Hialeah FL: Pricing & Availability | Olera.care",18,18,18,0.6111111111111112,0.3888888888888889,9.11111111111111,1,87,0,0
"Victoria Nursing & Rehabilitation Center, Miami FL: Pricing & Availability | Olera.care",18,18,18,0.8333333333333334,0.16666666666666666,10.38888888888889,1,90,0,0
"Best Senior Communities in Rockville, MD: Price Comparison",17,17,17,0.5294117647058824,0.47058823529411764,9.058823529411764,1,75,0,0
"Bridgewalk on Harden, Lakeland FL: Pricing & Availability | Olera.care",17,17,17,0.5882352941176471,0.4117647058823529,9.823529411764707,1,83,0,0
Home Care or Senior Community? Which is Best for Your Love One?,17,14,15,0.9333333333333333,0.06666666666666667,166.5,1.2142857142857142,29,0,0
"Whispering Hope, Lake Charles LA: Pricing & Availability | Olera.care",17,17,17,0.5882352941176471,0.4117647058823529,9.294117647058824,1,82,0,0
"American Seniors Housing Association, Washington DC: Pricing & Availability | Olera.care",16,16,16,0.6875,0.3125,8.8125,1,75,0,0
Inbox - Olera,16,8,8,1,0,19.125,2,23,0,0
"Life Care Center of Red Bank, Chattanooga TN: Pricing & Availability | Olera.care",16,16,16,0.6875,0.3125,10.6875,1,77,0,0
Memory Care Facilities: A Comprehensive Guide for Families,16,11,12,0.9166666666666666,0.08333333333333333,40.81818181818182,1.4545454545454546,28,0,0
"Regent Care Center of Laredo, Laredo TX: Pricing & Availability | Olera.care",16,16,16,0.5,0.5,9.1875,1,78,0,0
"Renaissance Sibley Memorial Hospital, Washington DC: Pricing & Availability | Olera.care",16,16,16,0.625,0.375,9.625,1,78,0,0
"Villages of Jackson Creek Memory Care, Independence MO: Pricing & Availability | Olera.care",16,16,16,0.75,0.25,9.75,1,76,0,0
Caregiver Stress | Olera Caregiver Forum: Supportive Member Community,15,7,7,1,0,114.14285714285714,2.142857142857143,16,0,0
"Comfort Keepers of Wilmington, NC, Wilmington NC: Pricing & Availability | Olera.care",15,15,15,0.6666666666666666,0.3333333333333333,9.533333333333333,1,74,0,0
"GCC Acres, Woodland CA: Pricing & Availability | Olera.care",15,1,13,0.15384615384615385,0.8461538461538461,0,15,26,0,0
"Luther Crest, Toledo OH: Pricing & Availability | Olera.care",15,15,15,0.7333333333333333,0.26666666666666666,10.066666666666666,1,75,0,0
"Bella Vista Apartments, Union City NJ: Pricing & Availability | Olera.care",14,13,14,0.6428571428571429,0.35714285714285715,16.23076923076923,1.0769230769230769,53,0,0
"Bowie Commons, Bowie MD: Pricing & Availability | Olera.care",14,11,11,0.7272727272727273,0.2727272727272727,41.81818181818182,1.2727272727272727,49,0,0
"Briarwood, Williston ND: Pricing & Availability | Olera.care",14,7,11,0.7272727272727273,0.2727272727272727,82.28571428571429,2,43,0,0
"Cedarfield, Richmond VA: Pricing & Availability | Olera.care",14,8,8,1,0,120.625,1.75,43,0,0
Affinity Home Health Care & Hospice - Inbox - Olera,13,1,5,0.6,0.4,207,13,17,0,0
"Bellemeade Manor, St. Peters MO: Pricing & Availability | Olera.care",13,11,12,0.5833333333333334,0.4166666666666667,18,1.1818181818181819,45,0,0
"Best Memory Care in Canton, OH: Price Comparison",13,13,13,0.5384615384615384,0.46153846153846156,9.384615384615385,1,60,0,0
"Long Live alf, Homestead FL: Pricing & Availability | Olera.care",13,13,13,0.7692307692307693,0.23076923076923078,12.615384615384615,1,61,0,0
Olera Leadership: Supporting Caregivers Across America,13,10,11,0.7272727272727273,0.2727272727272727,5.7,1.3,29,0,0
"The Villages of Imperial Pointe, Lake Charles LA: Pricing & Availability | Olera.care",13,13,13,0.7692307692307693,0.23076923076923078,10.384615384615385,1,65,0,0
"Calcasieu Community Care Center, Lake Charles LA: Pricing & Availability | Olera.care",12,12,12,0.5833333333333334,0.4166666666666667,9.666666666666666,1,58,0,0
"Cure Home Health, St. Cloud MN: Pricing & Availability | Olera.care",12,10,11,0.6363636363636364,0.36363636363636365,15.8,1.2,45,0,0
"Evergreen Manor, Clifton NJ: Pricing & Availability | Olera.care",12,11,13,0.23076923076923078,0.7692307692307693,14,1.0909090909090908,43,0,0
How to Prove Primary Caregiver Custody for an Elderly Parent,12,12,13,0.6153846153846154,0.38461538461538464,24.166666666666668,1,45,0,0
"Palomitas ""R"" US, Laredo TX: Pricing & Availability | Olera.care",12,8,10,0.3,0.7,32.125,1.5,37,0,0
"Willow Bend Villas, Raytown MO: Pricing & Availability | Olera.care",12,9,9,0.6666666666666666,0.3333333333333333,19.11111111111111,1.3333333333333333,35,0,0
"Atrium Health Wake Forest Baptist J. Paul Sticht Center On Aging And Rehabilitation, Winston-Salem NC: Pricing & Availability | Olera.care",11,9,10,0.7,0.3,35.77777777777778,1.2222222222222223,39,0,0
How to Create a Dementia Care Plan Before a Crisis Hits in 2025,11,9,11,0.7272727272727273,0.2727272727272727,59.22222222222222,1.2222222222222223,19,0,0
"Loving Care Adult Foster Care, Flint MI: Pricing & Availability | Olera.care",11,2,3,0.6666666666666666,0.3333333333333333,178,5.5,24,0,0
"Norman Veterans Center, Norman OK: Pricing & Availability | Olera.care",11,9,9,0.8888888888888888,0.1111111111111111,89.55555555555556,1.2222222222222223,41,0,0
"Serenity Home, Middleborough MA: Pricing & Availability | Olera.care",11,7,10,0.7,0.3,101.42857142857143,1.5714285714285714,38,0,0
(not set),10,17,17,0.5294117647058824,0.47058823529411764,49.35294117647059,0.5882352941176471,42,0,0
Average Cost of a Live-In Caregiver: Understanding Expenses,10,9,11,0.7272727272727273,0.2727272727272727,143.44444444444446,1.1111111111111112,39,0,0
"Best Nursing Home in Tulsa, OK: Price Comparison",10,2,2,1,0,212.5,5,19,0,0
"Covenant Living at Inverness, Tulsa OK: Pricing & Availability | Olera.care",10,7,8,0.875,0.125,68.71428571428571,1.4285714285714286,32,0,0
Olera Updates - Inbox - Olera,10,4,4,1,0,51.25,2.5,11,0,0
"St. Sophia Apartments - St Sophia Housing Development Fund Co, Albany NY: Pricing & Availability | Olera.care",10,4,8,0.5,0.5,202.75,2.5,31,0,0
"Best Home Care (Non-medical) in Texas City, TX: Price Comparison",9,1,5,1,0,56,9,12,0,0
"Best Independent Living in Fresno, CA: Price Comparison",9,1,1,1,0,376,9,13,0,0
Can a Caregiver Dispense Medication? Understanding the Role,9,4,9,0.1111111111111111,0.8888888888888888,7.25,2.25,24,0,0
"Citadel Home Care In New Jersey, East Orange NJ: Pricing & Availability | Olera.care",9,6,7,0.7142857142857143,0.2857142857142857,24.666666666666668,1.5,28,0,0
"Gardens of Somerset, Monroe LA: Pricing & Availability | Olera.care",9,5,6,0.6666666666666666,0.3333333333333333,53.2,1.8,26,0,0
"Helping Hands Healthcare Solutions, Waterloo IA: Pricing & Availability | Olera.care",9,1,2,0.5,0.5,48,9,16,0,0
"Lomond View Retirement Apartments, Ogden UT: Pricing & Availability | Olera.care",9,7,8,0.75,0.25,146.71428571428572,1.2857142857142858,34,0,0
"Narrows Place Adult Family Home, Tacoma WA: Pricing & Availability | Olera.care",9,4,4,1,0,61,2.25,25,0,0
"Ridgecrest Apartment 55+, Warner Robins GA: Pricing & Availability | Olera.care",9,8,8,0.625,0.375,27.125,1.125,33,0,0
"The Hearthside, Janesville WI: Pricing & Availability | Olera.care",9,1,7,0.2857142857142857,0.7142857142857143,5,9,18,0,0
"Villages at Homefield, O'Fallon MO: Pricing & Availability | Olera.care",9,8,8,0.625,0.375,44.625,1.125,33,0,0
Abernathy Towers - Inbox - Olera,8,1,1,1,0,343,8,9,0,0
"Affordable At Home Care Medford, Medford OR: Pricing & Availability | Olera.care",8,3,5,1,0,9,2.6666666666666665,20,0,0
"Aid Home Health Care Services LLC, Albuquerque NM: Pricing & Availability | Olera.care",8,6,7,0.42857142857142855,0.5714285714285714,10.333333333333334,1.3333333333333333,24,0,0
Application error: a client-side exception has occurred,8,21,22,0.45454545454545453,0.5454545454545454,7.761904761904762,0.38095238095238093,40,0,0
"Best Home Care (Non-medical) in Denver, CO: Price Comparison",8,1,1,1,0,82,8,8,0,0
"California Armenian Home, Fresno CA: Pricing & Availability | Olera.care",8,5,5,0.8,0.2,62,1.6,23,0,0
Exploring Senior Communities: A Comprehensive Guide to Lifestyle Options,8,7,7,0.8571428571428571,0.14285714285714285,31.142857142857142,1.1428571428571428,14,0,0
"Glen East Senior Apartments, Dothan AL: Pricing & Availability | Olera.care",8,8,8,0.375,0.625,44,1,29,0,0
"Mill Pond Senior Apartments, O'Fallon MO: Pricing & Availability | Olera.care",8,5,9,0.5555555555555556,0.4444444444444444,112,1.6,31,0,0
"Perfect Care Home Services, Roseville MN: Pricing & Availability | Olera.care",8,4,5,1,0,13.75,2,20,0,0
"The Cottages at Shawnee, Shawnee KS: Pricing & Availability | Olera.care",8,7,7,0.8571428571428571,0.14285714285714285,40.57142857142857,1.1428571428571428,29,0,0
Understanding Nursing Homes: A Complete Guide to Making the Right Choice,8,7,7,0.8571428571428571,0.14285714285714285,12.714285714285714,1.1428571428571428,17,0,0
"Affordable At Home Care Roseburg, Roseburg OR: Pricing & Availability | Olera.care",7,2,2,1,0,25,3.5,14,0,0
"Asian American Home Health, San Jose CA: Pricing & Availability | Olera.care",7,2,5,0.4,0.6,12.5,3.5,15,0,0
"Best Assisted Living in Kansas City, MO: Price Comparison",7,7,7,0.2857142857142857,0.7142857142857143,5.857142857142857,1,29,0,0
"Best Nursing Home in McLean, VA: Price Comparison",7,1,1,1,0,205,7,9,0,0
"Best Senior Communities in Kansas City, MO: Price Comparison",7,7,7,0.14285714285714285,0.8571428571428571,3.857142857142857,1,30,0,0
"Bishop Hodges Continuous Care, Wheeling WV: Pricing & Availability | Olera.care",7,1,5,0.2,0.8,376,7,12,0,0
"Broomfield Silvercrest, Broomfield CO: Pricing & Availability | Olera.care",7,4,7,0.42857142857142855,0.5714285714285714,48.75,1.75,21,0,0
"Caridad Home Care Services, Laredo TX: Pricing & Availability | Olera.care",7,3,6,0.3333333333333333,0.6666666666666666,37.666666666666664,2.3333333333333335,21,0,0
Comfort Keepers - Inbox - Olera,7,1,1,1,0,98,7,7,0,0
"Comfort Keepers of Houston, TX, Houston TX: Pricing & Availability | Olera.care",7,3,9,0.6666666666666666,0.3333333333333333,51.333333333333336,2.3333333333333335,14,0,0
"Heartfelt Care, Maple Grove MN: Pricing & Availability | Olera.care",7,3,6,0.6666666666666666,0.3333333333333333,29,2.3333333333333335,19,0,0
"Kingswood Reserve Luxury Senior Living, Clayton NC: Pricing & Availability | Olera.care",7,5,5,0.6,0.4,218.2,1.4,25,0,0
"Maranatha Home Health Inc, Arlington TX: Pricing & Availability | Olera.care",7,6,6,0.5,0.5,5,1.1666666666666667,20,0,0
"Ridgecrest Apartments, Ridgewood NJ: Pricing & Availability | Olera.care",7,5,5,0.8,0.2,59,1.4,24,0,0
"Ridgeview Estates, Raymore MO: Pricing & Availability | Olera.care",7,7,7,1,0,74.71428571428571,1,30,0,0
"Swift Creek Health Center at The Templeton of Cary, Durham NC: Pricing & Availability | Olera.care",7,1,3,0.6666666666666666,0.3333333333333333,253,7,17,0,0
"The Birchwood of Golfcrest (Formerly Arden Wood), Houston TX: Pricing & Availability | Olera.care",7,5,6,0.6666666666666666,0.3333333333333333,9.4,1.4,23,0,0
"The Home Healthcare Store, Middletown NY: Pricing & Availability | Olera.care",7,4,5,0.2,0.8,19.5,1.75,20,0,0
"The Lodge at The Terraces, Chico CA: Pricing & Availability | Olera.care",7,5,6,0.5,0.5,23,1.4,21,0,0
Understanding Your Family Caregiver Legal Rights & The Law,7,5,7,0.2857142857142857,0.7142857142857143,112.4,1.4,21,0,0
"Zvago Lake Superior, Duluth MN: Pricing & Availability | Olera.care",7,7,7,0.7142857142857143,0.2857142857142857,62.285714285714285,1,32,0,0
"Best Independent Living in Layton, UT: Price Comparison",6,6,6,0.5,0.5,8.333333333333334,1,27,0,0
"Best Memory Care in Mishawaka, IN: Price Comparison",6,2,2,1,0,61.5,3,11,0,0
"Best Memory Care in Watertown, MA: Price Comparison",6,1,1,1,0,13,6,8,0,0
Caregiver Legal Rights | Olera Caregiver Forum: Supportive Member Community,6,4,4,1,0,46.25,1.5,10,0,0
"Del Webb Community Center, Manteca CA: Pricing & Availability | Olera.care",6,5,6,0.3333333333333333,0.6666666666666666,16.6,1.2,20,0,0
"Dell Range Senior Apartments, Cheyenne WY: Pricing & Availability | Olera.care",6,4,5,0.8,0.2,88.5,1.5,18,0,0
"Faith House Residential Care, Cedar Hill TX: Pricing & Availability | Olera.care",6,4,4,0.25,0.75,19.5,1.5,17,0,0
"Flint Ridge Village Apartments, Newark OH: Pricing & Availability | Olera.care",6,3,4,1,0,70.33333333333333,2,16,0,0
"Friendly Care, Boston MA: Pricing & Availability | Olera.care",6,6,6,0.6666666666666666,0.3333333333333333,11.166666666666666,1,24,0,0
"Garland Estate For Seniors, Garland TX: Pricing & Availability | Olera.care",6,6,6,0.8333333333333334,0.16666666666666666,48.666666666666664,1,24,0,0
"Golden Living Senior Apartments, Columbia MD: Pricing & Availability | Olera.care",6,5,5,1,0,51,1.2,21,0,0
"Inman Grove Senior Citizen Residence, Edison NJ: Pricing & Availability | Olera.care",6,3,5,0.4,0.6,14.333333333333334,2,16,0,0
Just A Friend Elder Care - Inbox - Olera,6,1,1,1,0,151,6,6,0,0
"Madison Crossing Apartments, Kissimmee FL: Pricing & Availability | Olera.care",6,6,7,0.7142857142857143,0.2857142857142857,29.333333333333332,1,27,0,0
"Maison Home Care, Cuyahoga Falls OH: Pricing & Availability | Olera.care",6,5,6,0.5,0.5,28,1.2,20,0,0
Non-Medical Home Care in Texas: A Comprehensive Overview & Guide - Olera,6,5,5,0.6,0.4,4.4,1.2,15,0,0
"O'Brien Road Apartments, Syracuse NY: Pricing & Availability | Olera.care",6,6,6,0.5,0.5,13.666666666666666,1,21,0,0
"Oakwood Estates Nursing & Rehab, St. Louis MO: Pricing & Availability | Olera.care",6,6,6,0.6666666666666666,0.3333333333333333,10.5,1,23,0,0
"Onward Supported Living, Nampa ID: Pricing & Availability | Olera.care",6,5,6,0.5,0.5,18.2,1.2,22,0,0
"Positive Nature Homecare, Kennewick WA: Pricing & Availability | Olera.care",6,5,6,0.5,0.5,20.6,1.2,24,0,0
"Providence Park - St. Elizabeth Place, Waco TX: Pricing & Availability | Olera.care",6,6,6,0.5,0.5,11,1,22,0,0
"PruittHealth - North Tampa, Lutz FL: Pricing & Availability | Olera.care",6,3,5,0.6,0.4,50.666666666666664,2,17,0,0
"Solaris Healthcare Celebration, Kissimmee FL: Pricing & Availability | Olera.care",6,6,6,0,1,1.1666666666666667,1,19,0,0
"St. Joseph Residence, Lauderdale Lakes FL: Pricing & Availability | Olera.care",6,1,6,0,1,0,6,13,0,0
"Star Home Care, Morgan Hill CA: Pricing & Availability | Olera.care",6,4,5,1,0,37.5,1.5,15,0,0
"THERAPY 2000 - In Home Pediatric Therapy, Amarillo TX: Pricing & Availability | Olera.care",6,1,3,1,0,6,6,11,0,0
"Team Select Home Care, Phoenix AZ: Pricing & Availability | Olera.care",6,1,1,1,0,26,6,10,0,0
"The Care Training Academy, Glassboro NJ: Pricing & Availability | Olera.care",6,6,6,0.3333333333333333,0.6666666666666666,19.5,1,22,0,0
"The Caring Cottage Senior Living on Brandel Avenue, South Bend IN: Pricing & Availability | Olera.care",6,4,4,1,0,47.5,1.5,17,0,0
"The Groves, Independence MO: Pricing & Availability | Olera.care",6,3,5,0.4,0.6,121.33333333333333,2,16,0,0
"The Levin Palace, West Palm Beach FL: Pricing & Availability | Olera.care",6,4,4,1,0,149,1.5,19,0,0
"The Lodge at Shannondale, Knoxville TN: Pricing & Availability | Olera.care",6,4,4,0.5,0.5,0.75,1.5,15,0,0
"The Manor at Lake Morton, Lakeland FL: Pricing & Availability | Olera.care",6,6,7,1,0,111.33333333333333,1,10,0,0
"Three Peaks Assisted Living, Cedar UT: Pricing & Availability | Olera.care",6,3,5,0.4,0.6,19.333333333333332,2,17,0,0
"Toll Road Senior Apartments, Syracuse NY: Pricing & Availability | Olera.care",6,4,5,0.8,0.2,11.25,1.5,19,0,0
"ARP Manor Apartments, Gastonia NC: Pricing & Availability | Olera.care",5,2,3,0.3333333333333333,0.6666666666666666,115,2.5,12,0,0
