Country,Clicks,Impressions,CTR,Position
Kosovo,0,18,0%,21.67
Côte d’Ivoire,0,18,0%,36.5
Bahrain,0,16,0%,32.25
Angola,0,15,0%,33.53
Syria,0,14,0%,10.14
Aruba,0,14,0%,23.71
Gabon,0,14,0%,43
Bahamas,0,13,0%,20.54
Barbados,0,12,0%,12
Togo,0,11,0%,21.91
Kyrgyzstan,0,11,0%,30.27
Montenegro,0,10,0%,11.7
Rwanda,0,10,0%,28.7
Zimbabwe,0,9,0%,21.67
Mali,0,8,0%,32.38
Madagascar,0,8,0%,36.62
Turks & Caicos Islands,0,7,0%,9.71
Libya,0,7,0%,12.86
Guyana,0,7,0%,13.71
Iceland,0,7,0%,15.43
Cameroon,0,7,0%,15.57
Benin,0,7,0%,42.29
Liberia,0,6,0%,13.17
Congo - Kinshasa,0,6,0%,15.67
Laos,0,6,0%,19.83
Botswana,0,6,0%,21
Malta,0,6,0%,21.33
Mauritius,0,6,0%,26.33
Zambia,0,6,0%,32
Tanzania,0,6,0%,46.17
Guam,0,5,0%,3.8
Somalia,0,5,0%,10.2
Macau,0,5,0%,12.8
Maldives,0,5,0%,12.8
Suriname,0,5,0%,13.2
Unknown Region,0,5,0%,13.8
Namibia,0,5,0%,16.8
Haiti,0,5,0%,20
Luxembourg,0,5,0%,32.2
Antigua & Barbuda,0,4,0%,10.75
Fiji,0,4,0%,20
Mauritania,0,4,0%,22
Brunei,0,4,0%,29.25
Congo - Brazzaville,0,4,0%,40.75
British Virgin Islands,0,3,0%,4.33
Cayman Islands,0,3,0%,6
Sudan,0,3,0%,9.33
Sint Maarten,0,3,0%,12.67
French Polynesia,0,3,0%,29
Tajikistan,0,3,0%,29.67
Sierra Leone,0,2,0%,6
St. Lucia,0,2,0%,7
Bermuda,0,2,0%,8
U.S. Virgin Islands,0,2,0%,9
Martinique,0,2,0%,11
Northern Mariana Islands,0,2,0%,11.5
Gambia,0,2,0%,13
St. Kitts & Nevis,0,2,0%,16.5
Lesotho,0,2,0%,16.5
Greenland,0,2,0%,23
Western Sahara,0,2,0%,24.5
Solomon Islands,0,2,0%,31.5
Guernsey,0,2,0%,34.5
Swaziland,0,2,0%,38
New Caledonia,0,2,0%,39.5
Faroe Islands,0,2,0%,41
Isle of Man,0,2,0%,41
Réunion,0,2,0%,43.5
Grenada,0,2,0%,47
Yemen,0,2,0%,47.5
French Guiana,0,2,0%,53
Guadeloupe,0,2,0%,55
Chad,0,1,0%,4
Tonga,0,1,0%,4
Bhutan,0,1,0%,5
Kiribati,0,1,0%,5
Turkmenistan,0,1,0%,7
Jersey,0,1,0%,8
Anguilla,0,1,0%,9
Equatorial Guinea,0,1,0%,9
Niger,0,1,0%,9
Guinea,0,1,0%,10
Caribbean Netherlands,0,1,0%,14
Mozambique,0,1,0%,17
Curaçao,0,1,0%,22
Gibraltar,0,1,0%,25
Andorra,0,1,0%,29
Cape Verde,0,1,0%,32
