Country,Clicks,Impressions,CTR,Position
Sierra Leone,0,6,0%,14.17
Cayman Islands,0,6,0%,17.67
Yemen,0,6,0%,39.5
Tajikistan,0,6,0%,51.17
Sudan,0,5,0%,8.2
Bhutan,0,5,0%,9.4
Marshall Islands,0,5,0%,12.6
Montenegro,0,5,0%,18
Fiji,0,5,0%,21.8
Malawi,0,5,0%,31
Guyana,0,4,0%,39
Maldives,0,4,0%,46.25
St. Vincent & Grenadines,0,4,0%,61.25
Antarctica,0,3,0%,5.33
U.S. Virgin Islands,0,3,0%,5.67
Malta,0,3,0%,11.67
Aruba,0,3,0%,14
St. Lucia,0,3,0%,14.33
Luxembourg,0,3,0%,44
Madagascar,0,3,0%,47
Mali,0,3,0%,50.67
Mozambique,0,3,0%,65.33
Western Sahara,0,3,0%,69.33
American Samoa,0,2,0%,3
Svalbard & Jan Mayen,0,2,0%,5.5
Central African Republic,0,2,0%,11
Faroe Islands,0,2,0%,15.5
Lesotho,0,2,0%,15.5
Gambia,0,2,0%,28
Gibraltar,0,2,0%,36.5
Mauritania,0,2,0%,45.5
Namibia,0,2,0%,47
St. Martin,0,2,0%,82.5
Guinea,0,2,0%,91.5
Chad,0,1,0%,1
Swaziland,0,1,0%,3
Dominica,0,1,0%,8
Suriname,0,1,0%,9
Turks & Caicos Islands,0,1,0%,9
Montserrat,0,1,0%,10
Martinique,0,1,0%,11
Northern Mariana Islands,0,1,0%,13
Bermuda,0,1,0%,16
Liberia,0,1,0%,17
Guadeloupe,0,1,0%,30
Cape Verde,0,1,0%,31
British Virgin Islands,0,1,0%,31
Guinea-Bissau,0,1,0%,47
Guernsey,0,1,0%,50
New Caledonia,0,1,0%,57
French Guiana,0,1,0%,66
Monaco,0,1,0%,71
Jersey,0,1,0%,96
Niger,0,1,0%,97
